8605, 11384, 8590, 11164, 5326, 10263, 11764, 11772, 10295, 283
5908, 11867, 2947, 6338, 6440, 9044, 3453, 10619, 6761, 3532
11496, 9751, 9897, 11461, 11287, 2923, 2499, 11357, 2535, 8240
11384, 504, 8604, 6027, 6818, 6315, 8257, 3229, 129, 8533
6422, 1512, 5077, 6874, 6654, 6534, 6246, 9934, 12759, 7912
30, 2403, 4487, 9727, 58, 5344, 9857, 3060, 9735, 10079
13175, 10885, 11348, 4493, 12321, 1659, 12822, 6278, 11679, 9441
14055, 2067, 7918, 5373, 193, 9465, 1724, 14704, 14012, 14739
11506, 4455, 5845, 14012, 7007, 7020, 8182, 5905, 336, 4534
11164, 5715, 10263, 11764, 11772, 10651, 5204, 9851, 14777, 6546
7657, 11370, 1657, 12593, 4494, 2784, 14150, 4959, 12588, 4675
14034, 11066, 2798, 3406, 8758, 2074, 14055, 1197, 2108, 14012
11384, 129, 8533, 2176, 10506, 10471, 398, 7208, 10491, 11610
14340, 10860, 12935, 241, 1094, 8213, 8554, 12009, 11392, 11071
830, 9727, 30, 2403, 5344, 9735, 9857, 10079, 92, 2465
3830, 4333, 4509, 12558, 2524, 2452, 5031, 9989, 2922, 11706
8302, 6069, 12044, 7424, 40, 11933, 1657, 10712, 13199, 2435
10632, 1026, 2554, 11546, 1948, 1963, 8309, 6996, 6346, 3838
3507, 368, 10191, 9015, 11384, 9727, 1889, 13889, 30, 2169
1620, 12455, 1724, 8276, 532, 11773, 3554, 7073, 3448, 9737
